GS_A_ID	GS_B_ID	ALL	GS_A_SIZE	GS_B_SIZE	OLAP	SIMILARITY	NLOGPMF	CDF	NLOGCDF
GEX056014	GEX056517	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX066004	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX114416	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056014	GEX065394	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX080414	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX119631	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX056014	GEX096449	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX099362	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX056014	GEX083388	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX092300	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX099517	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX068283	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX122138	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056014	GEX059028	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX062282	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX101489	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX067114	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX107724	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056014	GEX058352	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX110415	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX121734	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX093626	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056014	GEX113038	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX117058	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056014	GEX078223	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX104469	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX086477	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX056014	GEX104027	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX065859	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX108874	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX090246	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056014	GEX083907	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX118398	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX056014	GEX106689	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX056014	GEX122211	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX056014	GEX118554	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX056014	GEX123309	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX092596	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX093996	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056014	GEX099228	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX066776	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX071513	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX056705	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX112560	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX078023	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX056089	GEX116719	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056089	GEX122491	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056089	GEX077989	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX066972	GEX080515	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX067972	GEX070427	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX070403	GEX121181	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX070403	GEX088794	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
