GS_ID_A,GS_ID_B,overlap,szymkiewicz_simpson,jaccard,npmi,size_a,size_b,union,composite
GEX039983,GEX046260,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX122138,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX087600,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX120762,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX039983,GEX063121,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX039983,GEX059028,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX039983,GEX104513,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX108369,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX062282,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX101489,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX067114,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX107724,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX115131,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX039983,GEX105577,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX039983,GEX058352,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX110415,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX121734,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX093626,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX052149,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX039983,GEX078084,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX039983,GEX113038,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX061565,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX039983,GEX117058,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX109864,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX039983,GEX043330,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX039983,GEX104239,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX039983,GEX055308,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX106448,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
