gs_id,gnn_cluster,structlite_cluster
GEX017981,2,5
GEX018010,0,3
GEX018071,3,3
GEX018088,1,0
GEX018117,6,2
GEX018118,1,3
GEX018119,6,9
GEX018246,6,0
GEX018282,1,7
GEX018309,4,7
GEX018457,3,3
GEX018467,5,9
GEX018468,5,2
GEX018524,0,2
GEX018531,9,7
GEX018550,0,3
GEX018557,9,3
GEX018558,6,0
GEX018595,9,0
GEX018612,3,3
GEX018692,2,1
GEX018713,2,2
GEX018792,4,3
GEX018848,9,2
GEX018849,9,7
GEX018873,7,4
GEX018874,7,4
GEX018890,2,6
GEX018917,3,4
GEX018918,2,1
GEX018998,2,2
GEX018999,1,4
GEX019015,9,7
GEX019241,5,4
GEX019242,2,4
GEX019263,6,2
GEX019264,9,2
GEX019277,8,1
GEX019314,1,5
GEX019315,5,1
GEX019439,2,6
GEX019540,4,7
GEX019541,9,7
GEX019557,6,0
GEX019558,6,2
GEX019598,4,3
GEX019631,4,2
GEX019632,3,2
GEX019699,3,3
GEX019700,1,0
GEX019703,4,7
GEX019704,3,7
GEX019707,9,7
GEX019761,5,1
GEX019764,0,7
GEX019765,7,5
GEX019812,6,3
GEX019823,2,4
GEX019830,1,4
GEX019831,9,4
GEX019894,9,3
GEX019895,6,9
GEX019910,9,3
GEX019911,6,0
GEX019912,6,9
GEX019915,0,3
GEX019931,8,6
GEX020007,5,9
GEX020045,6,1
GEX020061,1,0
GEX020062,3,7
GEX020207,3,3
GEX020232,1,9
GEX020262,9,2
GEX020263,5,0
GEX020294,3,3
GEX020310,5,3
GEX020349,4,7
GEX020350,4,3
GEX020385,4,0
GEX020386,6,0
GEX020418,5,4
GEX020541,9,2
GEX020542,6,7
GEX020549,3,7
GEX020550,5,7
GEX020574,7,5
GEX020583,2,4
GEX020590,3,3
GEX020599,1,3
GEX020685,6,2
GEX020687,1,9
GEX020696,7,4
GEX020806,8,1
GEX020860,6,5
GEX020989,9,3
GEX020990,0,3
GEX021052,0,7
GEX021070,3,7
GEX021071,0,7
GEX021085,1,0
GEX021092,2,4
GEX021145,7,2
GEX021187,9,4
GEX021203,2,6
GEX021220,3,7
GEX021221,9,7
GEX021230,9,2
GEX021236,9,3
GEX021237,7,0
GEX021284,9,3
GEX021287,0,3
GEX021288,2,5
GEX021339,5,4
GEX021356,5,5
GEX021445,9,7
GEX021484,4,3
GEX021506,9,2
GEX021556,9,0
GEX021615,3,7
GEX021621,1,2
GEX021638,8,1
GEX021662,1,9
GEX021663,1,3
GEX021797,8,1
GEX021867,9,3
GEX021876,1,0
GEX021877,7,0
GEX021915,1,2
GEX021919,4,7
GEX021921,2,6
GEX021923,1,7
GEX021924,6,0
GEX022002,9,2
GEX022003,0,2
GEX022008,0,2
GEX022009,3,2
GEX022053,0,3
GEX022070,4,7
GEX022071,9,7
GEX022091,5,3
GEX022152,2,2
GEX022153,1,4
GEX022206,6,0
GEX022207,0,7
GEX022223,1,5
GEX022274,1,2
GEX022297,6,3
GEX022369,9,7
GEX022391,6,0
GEX022417,1,5
GEX022448,2,4
GEX022449,2,4
GEX022451,0,3
GEX022453,5,2
GEX022531,5,4
GEX022537,9,3
GEX022538,2,5
GEX022555,0,2
GEX022592,0,7
GEX022593,9,2
GEX022632,0,2
GEX022633,3,2
GEX022662,9,4
GEX022663,7,7
GEX022684,9,3
GEX022723,9,2
GEX022738,9,7
GEX022750,5,1
GEX022764,1,2
GEX022769,0,3
GEX022785,5,4
GEX022786,6,4
GEX022798,9,7
GEX022848,6,5
GEX022849,4,2
GEX022868,1,2
GEX022919,9,0
GEX022950,5,6
GEX022971,9,2
GEX022972,7,5
GEX023011,4,3
GEX023014,7,5
GEX023027,0,2
GEX023032,6,4
GEX023043,8,6
GEX023079,9,3
GEX023080,5,3
GEX023089,1,4
GEX023090,6,4
GEX023093,0,7
GEX023094,4,7
GEX023143,3,3
GEX023144,4,7
GEX023204,7,5
GEX023243,7,0
GEX023253,6,0
GEX023307,6,2
GEX023312,8,1
GEX023323,0,7
GEX023324,9,7
GEX023376,3,7
GEX023400,4,3
GEX023404,3,7
GEX023440,9,4
GEX023441,1,0
GEX023480,6,9
GEX023521,5,0
GEX023522,3,3
GEX023555,0,7
GEX023578,5,0
GEX023579,3,7
GEX023580,1,0
GEX023744,4,0
GEX023745,6,7
