group_id,gs_id,degree_centrality,betweenness_centrality,closeness_centrality
A0,GEX047690,1.0,1.59676347865762e-06,1.0
A0,GEX047766,0.9913606911447085,1.4949125079561558e-06,0.9914346895074947
A0,GEX048223,1.0,1.59676347865762e-06,1.0
A0,GEX048506,1.0,1.59676347865762e-06,1.0
A0,GEX048694,1.0,1.59676347865762e-06,1.0
A0,GEX048844,1.0,1.59676347865762e-06,1.0
A0,GEX048859,1.0,1.59676347865762e-06,1.0
A0,GEX048963,1.0,1.59676347865762e-06,1.0
A0,GEX049367,0.9632829373650108,7.579740822833119e-07,0.9645833333333333
A0,GEX049393,1.0,1.59676347865762e-06,1.0
A0,GEX049647,1.0,1.59676347865762e-06,1.0
A0,GEX050023,1.0,1.59676347865762e-06,1.0
A0,GEX050289,1.0,1.59676347865762e-06,1.0
A0,GEX050622,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX050788,1.0,1.59676347865762e-06,1.0
A0,GEX051003,1.0,1.59676347865762e-06,1.0
A0,GEX051440,1.0,1.59676347865762e-06,1.0
A0,GEX051675,1.0,1.59676347865762e-06,1.0
A0,GEX052678,1.0,1.59676347865762e-06,1.0
A0,GEX052752,1.0,1.59676347865762e-06,1.0
A0,GEX052757,1.0,1.59676347865762e-06,1.0
A0,GEX052872,1.0,1.59676347865762e-06,1.0
A0,GEX053040,1.0,1.59676347865762e-06,1.0
A0,GEX053090,1.0,1.59676347865762e-06,1.0
A0,GEX053538,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX053565,1.0,1.59676347865762e-06,1.0
A0,GEX053829,1.0,1.59676347865762e-06,1.0
A0,GEX054247,1.0,1.59676347865762e-06,1.0
A0,GEX054351,1.0,1.59676347865762e-06,1.0
A0,GEX054601,1.0,1.59676347865762e-06,1.0
A0,GEX054736,1.0,1.59676347865762e-06,1.0
A0,GEX055030,1.0,1.59676347865762e-06,1.0
A0,GEX055225,1.0,1.59676347865762e-06,1.0
A0,GEX055546,1.0,1.59676347865762e-06,1.0
A0,GEX055563,1.0,1.59676347865762e-06,1.0
A0,GEX055572,1.0,1.59676347865762e-06,1.0
A0,GEX055973,1.0,1.59676347865762e-06,1.0
A0,GEX056237,1.0,1.59676347865762e-06,1.0
A0,GEX056559,1.0,1.59676347865762e-06,1.0
A0,GEX056642,1.0,1.59676347865762e-06,1.0
A0,GEX058088,1.0,1.59676347865762e-06,1.0
A0,GEX058149,1.0,1.59676347865762e-06,1.0
A0,GEX058179,1.0,1.59676347865762e-06,1.0
A0,GEX058527,1.0,1.59676347865762e-06,1.0
A0,GEX058697,1.0,1.59676347865762e-06,1.0
A0,GEX058737,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX059865,1.0,1.59676347865762e-06,1.0
A0,GEX060792,0.9978401727861772,1.5357858611019203e-06,0.9978448275862069
A0,GEX060988,0.9978401727861772,1.452782456293808e-06,0.9978448275862069
A0,GEX060989,0.9978401727861772,1.4945110467870474e-06,0.9978448275862069
A0,GEX062447,1.0,1.59676347865762e-06,1.0
A0,GEX062471,1.0,1.59676347865762e-06,1.0
A0,GEX062607,1.0,1.59676347865762e-06,1.0
A0,GEX063071,1.0,1.59676347865762e-06,1.0
A0,GEX063600,1.0,1.59676347865762e-06,1.0
A0,GEX063652,1.0,1.59676347865762e-06,1.0
A0,GEX064133,1.0,1.59676347865762e-06,1.0
A0,GEX064656,1.0,1.59676347865762e-06,1.0
A0,GEX064668,0.9935205183585314,1.5357858611019203e-06,0.9935622317596566
A0,GEX064875,1.0,1.59676347865762e-06,1.0
A0,GEX064923,1.0,1.59676347865762e-06,1.0
A0,GEX065133,1.0,1.59676347865762e-06,1.0
A0,GEX065267,1.0,1.59676347865762e-06,1.0
A0,GEX065811,1.0,1.59676347865762e-06,1.0
A0,GEX066060,1.0,1.59676347865762e-06,1.0
A0,GEX067826,1.0,1.59676347865762e-06,1.0
A0,GEX068265,1.0,1.59676347865762e-06,1.0
A0,GEX068656,1.0,1.59676347865762e-06,1.0
A0,GEX069019,1.0,1.59676347865762e-06,1.0
A0,GEX069136,1.0,1.59676347865762e-06,1.0
A0,GEX070590,1.0,1.59676347865762e-06,1.0
A0,GEX070782,1.0,1.59676347865762e-06,1.0
A0,GEX071572,1.0,1.59676347865762e-06,1.0
A0,GEX071988,1.0,1.59676347865762e-06,1.0
A0,GEX072205,1.0,1.59676347865762e-06,1.0
A0,GEX072532,1.0,1.59676347865762e-06,1.0
A0,GEX072869,1.0,1.59676347865762e-06,1.0
A0,GEX072898,1.0,1.59676347865762e-06,1.0
A0,GEX073048,1.0,1.59676347865762e-06,1.0
A0,GEX073138,1.0,1.59676347865762e-06,1.0
A0,GEX073338,1.0,1.59676347865762e-06,1.0
A0,GEX073956,1.0,1.59676347865762e-06,1.0
A0,GEX074001,1.0,1.59676347865762e-06,1.0
A0,GEX074039,1.0,1.59676347865762e-06,1.0
A0,GEX076633,1.0,1.59676347865762e-06,1.0
A0,GEX076781,1.0,1.59676347865762e-06,1.0
A0,GEX076919,1.0,1.59676347865762e-06,1.0
A0,GEX077219,1.0,1.59676347865762e-06,1.0
A0,GEX077537,1.0,1.59676347865762e-06,1.0
A0,GEX077692,1.0,1.59676347865762e-06,1.0
A0,GEX077803,1.0,1.59676347865762e-06,1.0
A0,GEX077804,1.0,1.59676347865762e-06,1.0
A0,GEX079251,1.0,1.59676347865762e-06,1.0
A0,GEX079485,1.0,1.59676347865762e-06,1.0
A0,GEX079842,1.0,1.59676347865762e-06,1.0
A0,GEX079901,0.9632829373650108,7.579740822833119e-07,0.9645833333333333
A0,GEX079906,1.0,1.59676347865762e-06,1.0
A0,GEX080095,1.0,1.59676347865762e-06,1.0
A0,GEX080233,1.0,1.59676347865762e-06,1.0
A0,GEX080729,1.0,1.59676347865762e-06,1.0
A0,GEX080821,1.0,1.59676347865762e-06,1.0
A0,GEX081212,1.0,1.59676347865762e-06,1.0
A0,GEX081655,1.0,1.59676347865762e-06,1.0
A0,GEX081937,0.9978401727861772,1.3687617443635686e-06,0.9978448275862069
A0,GEX081938,0.9913606911447085,1.2671513348029106e-06,0.9914346895074947
A0,GEX082362,1.0,1.59676347865762e-06,1.0
A0,GEX082764,1.0,1.59676347865762e-06,1.0
A0,GEX083074,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX083184,1.0,1.59676347865762e-06,1.0
A0,GEX083929,1.0,1.59676347865762e-06,1.0
A0,GEX084158,1.0,1.59676347865762e-06,1.0
A0,GEX084199,1.0,1.59676347865762e-06,1.0
A0,GEX084448,1.0,1.59676347865762e-06,1.0
A0,GEX084449,1.0,1.59676347865762e-06,1.0
A0,GEX085021,1.0,1.59676347865762e-06,1.0
A0,GEX085334,1.0,1.59676347865762e-06,1.0
A0,GEX085592,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX085787,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX085948,1.0,1.59676347865762e-06,1.0
A0,GEX086416,1.0,1.59676347865762e-06,1.0
A0,GEX086491,1.0,1.59676347865762e-06,1.0
A0,GEX086513,1.0,1.59676347865762e-06,1.0
A0,GEX087613,1.0,1.59676347865762e-06,1.0
A0,GEX087649,1.0,1.59676347865762e-06,1.0
A0,GEX087806,1.0,1.59676347865762e-06,1.0
A0,GEX087889,0.9956803455723543,1.5357411926630384e-06,0.9956989247311828
A0,GEX088111,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX088333,1.0,1.59676347865762e-06,1.0
A0,GEX088538,1.0,1.59676347865762e-06,1.0
A0,GEX088712,1.0,1.59676347865762e-06,1.0
A0,GEX089598,1.0,1.59676347865762e-06,1.0
A0,GEX090307,1.0,1.59676347865762e-06,1.0
A0,GEX090330,1.0,1.59676347865762e-06,1.0
A0,GEX090899,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX090987,1.0,1.59676347865762e-06,1.0
A0,GEX091812,1.0,1.59676347865762e-06,1.0
A0,GEX091883,1.0,1.59676347865762e-06,1.0
A0,GEX091952,1.0,1.59676347865762e-06,1.0
A0,GEX091953,1.0,1.59676347865762e-06,1.0
A0,GEX092107,1.0,1.59676347865762e-06,1.0
A0,GEX092167,1.0,1.59676347865762e-06,1.0
A0,GEX092174,1.0,1.59676347865762e-06,1.0
A0,GEX092979,0.9935205183585314,7.998031999923336e-07,0.9935622317596566
A0,GEX093017,1.0,1.59676347865762e-06,1.0
A0,GEX093250,0.9978401727861772,1.4945557177537586e-06,0.9978448275862069
A0,GEX093289,1.0,1.59676347865762e-06,1.0
A0,GEX093484,1.0,1.59676347865762e-06,1.0
A0,GEX093718,1.0,1.59676347865762e-06,1.0
A0,GEX094351,1.0,1.59676347865762e-06,1.0
A0,GEX094466,1.0,1.59676347865762e-06,1.0
A0,GEX095229,1.0,1.59676347865762e-06,1.0
A0,GEX095371,1.0,1.59676347865762e-06,1.0
A0,GEX095785,1.0,1.59676347865762e-06,1.0
A0,GEX096037,1.0,1.59676347865762e-06,1.0
A0,GEX096876,1.0,1.59676347865762e-06,1.0
A0,GEX097423,1.0,1.59676347865762e-06,1.0
A0,GEX097484,1.0,1.59676347865762e-06,1.0
A0,GEX097881,1.0,1.59676347865762e-06,1.0
A0,GEX098690,1.0,1.59676347865762e-06,1.0
A0,GEX098762,1.0,1.59676347865762e-06,1.0
A0,GEX099136,1.0,1.59676347865762e-06,1.0
A0,GEX099992,1.0,1.59676347865762e-06,1.0
A0,GEX099994,1.0,1.59676347865762e-06,1.0
A0,GEX100023,1.0,1.59676347865762e-06,1.0
A0,GEX100147,0.9978401727861772,1.576525596929177e-06,0.9978448275862069
A0,GEX100282,1.0,1.59676347865762e-06,1.0
A0,GEX100394,1.0,1.59676347865762e-06,1.0
A0,GEX100453,1.0,1.59676347865762e-06,1.0
A0,GEX100590,1.0,1.59676347865762e-06,1.0
A0,GEX100923,1.0,1.59676347865762e-06,1.0
A0,GEX100959,1.0,1.59676347865762e-06,1.0
A0,GEX101025,1.0,1.59676347865762e-06,1.0
A0,GEX101237,1.0,1.59676347865762e-06,1.0
A0,GEX101296,1.0,1.59676347865762e-06,1.0
A0,GEX101504,1.0,1.59676347865762e-06,1.0
A0,GEX101983,1.0,1.59676347865762e-06,1.0
A0,GEX102342,1.0,1.59676347865762e-06,1.0
A0,GEX102556,1.0,1.59676347865762e-06,1.0
A0,GEX103269,1.0,1.59676347865762e-06,1.0
A0,GEX103348,1.0,1.59676347865762e-06,1.0
A0,GEX103430,1.0,1.59676347865762e-06,1.0
A0,GEX103638,1.0,1.59676347865762e-06,1.0
