group_id,source,target,edge_type,disease_ids,disease_names,pathway_ids,pathway_names,source_db,min_pval,disease_count,go_terms,go_count,overlap_count,similarity,neg_log_pval,shared_pmid_count,shared_pmids
A0,GEX054736,GEX073338,gene_overlap,,,,,,,,,,1362.0,0.7241285990738727,1.1197216304601125e-13,,
A0,GEX055030,GEX097881,gene_overlap,,,,,,,,,,1136.0,0.6969002477023867,1.110647512057553e-10,,
A0,GEX055225,GEX100453,gene_overlap,,,,,,,,,,1033.0,0.6851419416126092,2.4520568508741767e-31,,
A0,GEX055546,GEX058527,gene_overlap,,,,,,,,,,144.0,0.7618181818181818,9.69325823860288e-22,,
A0,GEX055572,GEX058088,gene_overlap,,,,,,,,,,1472.0,0.7612757049991128,3.736009752359811e-11,,
A0,GEX055973,GEX074001,gene_overlap,,,,,,,,,,56.0,1.0,0.0505541518687973,,
A0,GEX056237,GEX086513,gene_overlap,,,,,,,,,,1177.0,0.7620236773954865,9.259283500336444e-22,,
A0,GEX056642,GEX058697,gene_overlap,,,,,,,,,,1170.0,0.7665725969014572,3.0540048590526786e-20,,
A0,GEX058149,GEX100959,gene_overlap,,,,,,,,,,916.0,0.6016930761592744,0.0001050928808654,,
A0,GEX059865,GEX118919,gene_overlap,,,,,,,,,,1418.0,0.7325476767542006,5.97880816581178e-41,,
A0,GEX060988,GEX081937,gene_overlap,,,,,,,,,,1455.0,0.7373370168674841,1.197471733876222e-47,,
A0,GEX060989,GEX081938,gene_overlap,,,,,,,,,,1416.0,0.7815412309900385,5.428361247580206e-43,,
A0,GEX062471,GEX103796,gene_overlap,,,,,,,,,,401.0,1.0,2.6067214994691312,,
A0,GEX062607,GEX072532,gene_overlap,,,,,,,,,,28.0,0.7330081300813008,9.193367591090604e-07,,
A0,GEX063071,GEX118434,gene_overlap,,,,,,,,,,328.0,0.6548578845975543,1.0275482140186913e-07,,
A0,GEX063600,GEX093484,gene_overlap,,,,,,,,,,1394.0,0.7299945224394819,2.281341879356946e-25,,
A0,GEX063652,GEX112368,gene_overlap,,,,,,,,,,1596.0,0.7966858613740955,3.619004353494038e-73,,
A0,GEX064133,GEX117537,gene_overlap,,,,,,,,,,1303.0,0.7482460128923698,9.195375602993724e-13,,
A0,GEX064656,GEX109535,gene_overlap,,,,,,,,,,828.0,0.615790860079727,2.9984350597044503e-11,,
A0,GEX064668,GEX123332,gene_overlap,,,,,,,,,,1122.0,0.6542393425060311,8.81401714334416e-10,,
A0,GEX064875,GEX083929,gene_overlap,,,,,,,,,,929.0,0.5794877788935994,0.0003915071304615,,
A0,GEX065133,GEX088333,gene_overlap,,,,,,,,,,986.0,0.5826535762549048,8.73290730532698e-05,,
A0,GEX065267,GEX073338,gene_overlap,,,,,,,,,,1321.0,0.6932234784604749,3.7506245738412275e-33,,
A0,GEX065811,GEX116084,gene_overlap,,,,,,,,,,1304.0,0.7434897819419845,2.3461691821778968e-25,,
A0,GEX066060,GEX117921,gene_overlap,,,,,,,,,,16.0,0.4327272727272727,0.01418142656235,,
A0,GEX066060,GEX069136,gene_overlap,,,,,,,,,,16.0,0.8736842105263157,0.0048976173110696,,
A0,GEX068265,GEX102342,gene_overlap,,,,,,,,,,1208.0,0.7432716612144938,1.3565719663373054e-11,,
