threshold,cluster,cluster_nodes,cluster_genes,universe_genes,tested_terms,term_id,term_name,term_description,k_overlap,n_cluster_genes,m_term_genes,M_universe_genes,p_value,q_value,enrichment_ratio
080,3,2949,51793,60887,124019,GEX026581,GSE160542-4-vs-3-human dn,"Dn genes in ctrl 4h cell line bci ns1.1 culture air liquid interphase day 26 untreated bronchus vs ho53 24h cell line bci ns1.1 culture air liquid interphase day 26 75 um bronchus (GSE160542, human)",2000,51793,2000,60887,8.475416719652939e-144,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX027898,GSE216570-3-vs-2-human up,"Up genes in hela input dataset 2 cell line (atcc ccl 2) human cervix cancer wild type sirna based knockdown ythdf1 ythdf3 rescue vs hek input dataset 2 cell line hek293t (atcc crl 3216) human embryo kidney wild type sirna based knockdown ythdf1 ythdf3 rescue (GSE216570, human)",2000,51793,2000,60887,8.475416719652939e-144,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX007633,GSE243230-4-vs-2-human dn,"Dn genes in mock 24h cell line t84 human colon carcinoma wt none vs ifnl 6h cell line t84 human colon carcinoma wt 100ng/ml infl1 3 (GSE243230, human)",1999,51793,1999,60887,1.0023302803287973e-143,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX009431,GSE225725-2-vs-13-human dn,"Dn genes in exptcell na 24hrs pbmc derived expanded cells cell activation pregnenolone (200 \u00e2\u00b5m) yes 24 biological replicate technical vs exptcell na ut 0hrs pbmc derived expanded cells cell activation pregnenolone (200 \u00e2\u00b5m) 0 biological replicate technical (GSE225725, human)",1999,51793,1999,60887,1.0023302803287973e-143,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX010974,GSE222592-4-vs-2-human up,"Up genes in shzdhhc7 22rv1 cell line prostate /infection wt vs plko 22rv1 cell line prostate /infection wt (GSE222592, human)",1999,51793,1999,60887,1.0023302803287973e-143,3.119916950944936e-140,1.1755835730697197
080,4,2396,53806,60887,124019,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",2000,53806,2000,60887,4.9073420848579754e-110,1.1134664018653788e-106,1.1316024235215403
080,4,2396,53806,60887,124019,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",2000,53806,2000,60887,4.9073420848579754e-110,1.1134664018653788e-106,1.1316024235215403
080,4,2396,53806,60887,124019,GEX022223,GSE227465-3-vs-4-human dn,"Dn genes in hbl1 a20 24hr cell line human dlbcl cas9 engineered tnfaip3 ko vs tmd8 24hr acal cell line human dlbcl cas9 engineered ko 25 nm acalabrutinib 24h (GSE227465, human)",2000,53806,2000,60887,4.9073420848579754e-110,1.1134664018653788e-106,1.1316024235215403
080,4,2396,53806,60887,124019,GEX022390,"GSE246886,GSE246889-2-vs-4-human dn","Dn genes comparing Group 2 vs Group 4 (GSE246889, human)",2000,53806,2000,60887,4.9073420848579754e-110,1.1134664018653788e-106,1.1316024235215403
080,4,2396,53806,60887,124019,GEX026030,GSE249721-5-vs-12-human up,"Up genes in pc9 ct 24h lung adenocarcinoma cell line epithelial subcloned yes dmso vs h4006 erlo 24h 1 lung adenocarcinoma cell line hcc4006 epithelial subcloned yes erlotinib um (GSE249721, human)",2000,53806,2000,60887,4.9073420848579754e-110,1.1134664018653788e-106,1.1316024235215403
080,4,2396,53806,60887,124019,GEX026581,GSE160542-4-vs-3-human dn,"Dn genes in ctrl 4h cell line bci ns1.1 culture air liquid interphase day 26 untreated bronchus vs ho53 24h cell line bci ns1.1 culture air liquid interphase day 26 75 um bronchus (GSE160542, human)",2000,53806,2000,60887,4.9073420848579754e-110,1.1134664018653788e-106,1.1316024235215403
080,4,2396,53806,60887,124019,GEX027898,GSE216570-3-vs-2-human up,"Up genes in hela input dataset 2 cell line (atcc ccl 2) human cervix cancer wild type sirna based knockdown ythdf1 ythdf3 rescue vs hek input dataset 2 cell line hek293t (atcc crl 3216) human embryo kidney wild type sirna based knockdown ythdf1 ythdf3 rescue (GSE216570, human)",2000,53806,2000,60887,4.9073420848579754e-110,1.1134664018653788e-106,1.1316024235215403
080,4,2396,53806,60887,124019,GEX005652,"GSE212877,GSE212882-8-vs-1-human up","Up genes comparing Group 8 vs Group 1 (GSE212882, human)",1999,53806,1999,60887,5.578079423497156e-110,1.1134664018653788e-106,1.1316024235215405
080,4,2396,53806,60887,124019,GEX007633,GSE243230-4-vs-2-human dn,"Dn genes in mock 24h cell line t84 human colon carcinoma wt none vs ifnl 6h cell line t84 human colon carcinoma wt 100ng/ml infl1 3 (GSE243230, human)",1999,53806,1999,60887,5.578079423497156e-110,1.1134664018653788e-106,1.1316024235215405
080,4,2396,53806,60887,124019,GEX009431,GSE225725-2-vs-13-human dn,"Dn genes in exptcell na 24hrs pbmc derived expanded cells cell activation pregnenolone (200 \u00e2\u00b5m) yes 24 biological replicate technical vs exptcell na ut 0hrs pbmc derived expanded cells cell activation pregnenolone (200 \u00e2\u00b5m) 0 biological replicate technical (GSE225725, human)",1999,53806,1999,60887,5.578079423497156e-110,1.1134664018653788e-106,1.1316024235215405
080,5,3593,55201,60887,124019,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
080,5,3593,55201,60887,124019,GEX010287,"GSE240896,GSE240899-5-vs-1-human dn","Dn genes comparing Group 5 vs Group 1 (GSE240899, human)",2000,55201,2000,60887,2.1944662430597016e-87,2.9802787455948224e-84,1.1030053803373125
